query_id,category,text,annotation_mode,pool_depth,relevant_group_key,relevant_group_label
q001,title_exact,Introduction,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q002,title_exact,Morning Dips,manual,10,release_150181,Cage / Movies for the Blind
q003,title_exact,Catstep / My Kitten / Catnap (Vatstep DSP remix by Hrvatski),manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q004,title_exact,Run Rabbit Junk,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q005,title_exact,Gather,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q006,title_exact,Lieutenant Kijé Suite, Op. 60: Troika,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q007,title_exact,Rondo alla turca,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q008,title_exact,소멸의 시간,manual,10,release_1202740,잠비나이 / 차연
q009,title_exact,Ballet-Suite, Op. 20a (Auszüge), "Schwanensee": Walzer,manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q010,title_exact,Piano Trio in A minor: I. Modéré,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q011,title_exact,Before my body is dry,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q012,title_exact,lolol,manual,10,release_1444410,yoko kanno / 残響のテロル ORIGINAL SOUNDTRACK
q013,title_exact,Symphonic Poem 'Also sprach Zarathustra' 1 Einleitung,manual,10,release_1515866,Various Artists / Accuphase: Special Sound Selection (for Superior Equipment)
q014,title_exact,Holy Ghost,manual,10,release_1610922,A$AP Rocky / At.Long.Last.A$AP
q015,title_exact,Somethin’ Stupid,manual,10,release_1807317,Nancy Sinatra / Greatest Hits
q016,title_exact,Hochzeitsglocken,manual,10,release_1833799,Various Artists / Treulich geführt... - Die schönsten Hochzeitsmelodien
q017,title_exact,American Money,manual,10,release_1864872,Seatbelts / COWBOY BEBOP NO DISC オリジナルサウンドトラック2
q018,title_exact,Opening Titles,manual,10,release_1973532,Terry Nation narrated by Tom Baker / Doctor Who: Genesis of the Daleks
q019,title_exact,Birth of an Orphan,manual,10,release_2032540,Charles Dickens read by Martin Jarvis / Oliver Twist
q020,title_exact,I Feel You,manual,10,release_2221807,Depeche Mode / Songs of Faith and Devotion
q021,title_exact,Superstar,manual,10,release_2229385,Andrew Lloyd Webber / The Very Best of Andrew Lloyd Webber: The Broadway Collection
q022,title_exact,Cold Rain and Snow,manual,10,release_2248538,Grateful Dead / Dave’s Picks, Volume 24: Berkeley Community Theatre, Berkeley, CA · 8/25/72
q023,title_exact,Romance for Violin no. 2 in F major, op. 50,manual,10,release_2296233,Various Artists / The Instruments of Classical Music, Vol. 5: The Violin
q024,title_exact,«Shéhérazade» Suite sinfonica, op. 35: I. Il mare e la nave di Sindbad,manual,10,release_2428903,Rimskij-Korsakov, Musorgskij; Orchestra sinfonica di Torino della RAI, Sergiu Celibidache, Orchestra sinfonica di Milano della RAI, Riccardo Muti / Rimskij-Korsakov: «Sheherazade» / Musorgskij: «Quadri di un’esposizione»
q025,album,みんな大好き塊魂オリジナルサウンドトラック「塊は魂」,manual,10,release_130163,Various Artists / みんな大好き塊魂オリジナルサウンドトラック「塊は魂」
q026,album,Movies for the Blind,manual,10,release_150181,Cage / Movies for the Blind
q027,album,kid606 and Friends, Volume 1,manual,10,release_163733,kid606 / kid606 and Friends, Volume 1
q028,album,Ghost in the Shell: Stand Alone Complex O.S.T.+,manual,10,release_207041,菅野よう子 / Ghost in the Shell: Stand Alone Complex O.S.T.+
q029,album,Dubstep Allstars, Volume 06: Mixed by Appleblim,manual,10,release_420610,Appleblim / Dubstep Allstars, Volume 06: Mixed by Appleblim
q030,album,Classic CD, Volume 56: Christmas Classics,manual,10,release_759740,Various Artists / Classic CD, Volume 56: Christmas Classics
q031,album,Piano Masterpieces,manual,10,release_999525,Silvia Čápová / Piano Masterpieces
q032,album,차연,manual,10,release_1202740,잠비나이 / 차연
q033,album,Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge),manual,10,release_1236800,Tschaikowsky; Wiener Symphoniker & Edouard van Remoortel, Baltimore Symphony Orchestra & Sergiu Comissiona / Im Herzen der Klassik 10: Tschaikowsky- Balletmusik (Auszüge)
q034,album,The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50,manual,10,release_1350314,Maurice Ravel, Tchaikovsky; Arthur Rubinstein, Jascha Heifetz, Gregor Piatigorsky / The Rubinstein Collection, Volume 25: Ravel: Piano Trio / Tchaikovsky: Piano Trio, Op. 50
q035,album,キルラキル オリジナルサウンドトラック,manual,10,release_1367361,澤野弘之 / キルラキル オリジナルサウンドトラック
q036,album,残響のテロル ORIGINAL SOUNDTRACK,manual,10,release_1444410,yoko kanno / 残響のテロル ORIGINAL SOUNDTRACK
